縣市,日期,稉種白米零售價格(元/每公斤),硬秈白米零售價格(元/每公斤),軟秈白米零售價格(元/每公斤),圓糯白米零售價格(元/每公斤),長糯白米零售價格(元/每公斤),稉種白米躉售價格(元/每百公斤),硬秈白米躉售價格(元/每百公斤),軟秈白米躉售價格(元/每百公斤),圓糯白米躉售價格(元/每百公斤),長糯白米躉售價格(元/每百公斤),稻穀稉種價格(元/每百公斤),稻穀硬秈價格(元/每百公斤),稻穀軟秈價格(元/每百公斤),稻穀圓糯價格(元/每百公斤),稻穀長糯價格(元/每百公斤)
"彰化縣  ","114.4.17","45","48.39","48.06","51.22","49.39","3910","4178","4295","4645","4225","2643","0","2750","3087","2696"
"南投縣  ","114.4.17","46.68","51.43","49.68","55.71","53.65","4000","0","0","4583","4250","2600","0","0","0","0"
"雲林縣  ","114.4.17","43.25","46.38","0","51.45","47.93","3889","4125","0","4519","4147","2658","2550","0","3036","2695"
"嘉義市  ","114.4.17","43.72","0","0","52.89","50.43","3831","0","0","4409","4150","2633","2250","0","0","0"
"嘉義縣  ","114.4.17","44.07","0","0","52.46","51.38","3836","0","0","4383","4111","2627","2242","0","0","0"
"台南市  ","114.4.17","45.43","0","46.67","52.78","53.57","3896","4146","3833","4500","4250","2597","0","0","0","0"
"高雄市  ","114.4.17","44.19","0","46.6","52.49","57.44","3699","0","0","4546","5224","2500","0","0","0","0"
"屏東縣  ","114.4.17","40.92","46.02","0","50.4","51.87","3555","4152","0","4083","4089","2666","0","0","0","0"
"宜蘭縣  ","114.4.17","46.44","51.67","48.96","56.92","56.02","3722","0","4292","4750","4625","2259","0","0","0","0"
"花蓮縣  ","114.4.17","49.73","0","0","56.98","58","4417","0","0","5025","5099","2620","0","0","0","0"
"台東縣  ","114.4.17","59.18","0","0","64.87","61.55","4635","0","0","5281","5500","2617","0","0","2820","0"
"澎湖縣  ","114.4.17","44.28","0","0","58.89","58.89","3986","0","0","0","0","0","0","0","0","0"
